,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_1000-genome_0_condorpool,None,auxiliary,0,1660019975.0,,,1660019976.0,,,0.0,1660019980.0,1660019986.0,,,0.0,1660019986.0,1660019991.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0,,,,,,,,,
individuals_ID0000047,None,compute,0,1660019991.0,,,1660019997.0,1660020032.0,1660020102.0,14457244.0,1660020017.0,1660021023.0,1660021022.0,1660021027.0,81997.0,1660021023.0,1660021028.0,6.0,,20.0,1006.0,5.0,70.0,1014283276.0,5.0,387788.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_21067/pegasus.6Law57USc/individuals,,913.0,0,0,0.0,1015496499.0,5890290.0,125586.0,2514.0,905.3,3.6,1115930.2,6472.8
individuals_ID0000046,cpu_2,compute,0,1660019991.0,,,1660019997.0,1660020031.0,1660020084.0,18901540.0,1660020017.0,1660021860.0,1660021860.0,1660021865.0,80601.0,1660021860.0,1660021865.0,6.0,,20.0,1843.0,5.0,53.0,1014283276.0,5.0,357713.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_33405/pegasus.dnLv7jPc1/individuals,,828.9,0,0,0.0,1032752780.0,6003842.0,133693.0,2535.0,826.4,2.4,583476.1,3392.0
individuals_ID0000045,None,compute,0,1660019991.0,,,1660019997.0,1660020031.0,1660020079.0,20932761.0,1660020017.0,1660021003.0,1660021002.0,1660021007.0,73163.0,1660021003.0,1660021008.0,6.0,,20.0,986.0,5.0,48.0,1014283276.0,5.0,337371.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_33907/pegasus.WixTBMMXi/individuals,,917.1,0,0,0.0,1015503803.0,4774035.0,125600.0,2502.0,907.3,2.1,1115938.2,5246.2
individuals_ID0000044,cpu_2,compute,0,1660019991.0,,,1660019997.0,1660020032.0,1660020103.0,14368243.0,1660020017.0,1660021320.0,1660021319.0,1660021324.0,105743.0,1660021320.0,1660021325.0,6.0,,20.0,1303.0,5.0,71.0,1014283276.0,5.0,465843.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_29609/pegasus.SuK9fyLYl/individuals,,855.3,0,0,0.1,1025061850.0,7183857.0,129942.0,2532.0,852.4,2.3,847158.6,5937.1
individuals_ID0000049,None,compute,0,1660019991.0,,,1660019997.0,1660020033.0,1660020099.0,15478615.0,1660020017.0,1660020993.0,1660020994.0,1660020998.0,89298.0,1660020993.0,1660020998.0,6.0,,20.0,976.0,5.0,66.0,1014283276.0,4.0,409339.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_33470/pegasus.sC79xxVC9/individuals,,889.0,0,0,0.0,1015481564.0,6036292.0,125531.0,2483.0,873.6,5.6,1153956.3,6859.4
individuals_ID0000048,None,compute,0,1660019991.0,,,1660019997.0,1660020033.0,1660020103.0,14539218.0,1660020017.0,1660021023.0,1660021022.0,1660021027.0,104322.0,1660021023.0,1660021028.0,6.0,,20.0,1006.0,5.0,70.0,1014283276.0,5.0,488809.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_21338/pegasus.TV2NYrQhe/individuals,,912.7,0,0,0.0,1015491044.0,7044749.0,125574.0,2515.0,907.0,1.9,1115924.2,7741.5
individuals_ID0000032,None,compute,0,1660019991.0,,,1660019997.0,1660020030.0,1660020086.0,18264265.0,1660020017.0,1660021018.0,1660021018.0,1660021023.0,70287.0,1660021018.0,1660021023.0,6.0,,20.0,1001.0,5.0,56.0,1014283276.0,5.0,325454.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_22302/pegasus.tU7OzS8EO/individuals,,926.3,0,0,0.1,1015505628.0,5157015.0,125613.0,2506.0,917.9,1.4,1103810.5,5605.5
individuals_ID0000031,None,compute,0,1660019991.0,,,1660019996.0,1660020032.0,1660020073.0,24455039.0,1660020017.0,1660021003.0,1660021003.0,1660021008.0,54659.0,1660021003.0,1660021008.0,5.0,,21.0,986.0,5.0,41.0,1014283276.0,5.0,259790.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_38333/pegasus.FmwC28RmA/individuals,,921.3,0,0,0.0,1015496678.0,4455886.0,125591.0,2513.0,915.1,2.0,1103800.7,4843.4
individuals_ID0000030,None,compute,0,1660019991.0,,,1660019996.0,1660020032.0,1660020081.0,20464418.0,1660020017.0,1660020998.0,1660021000.0,1660021004.0,48575.0,1660020998.0,1660021003.0,5.0,,21.0,981.0,5.0,49.0,1014283276.0,4.0,221478.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_39845/pegasus.jqhaBvnU6/individuals,,911.6,0,0,0.0,1015503955.0,3259900.0,125600.0,2517.0,907.1,1.6,1115938.4,3582.3
