,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_casa-wind-full_0_condorpool,None,auxiliary,0,1694477966.0,,,1694477967.0,,,0.0,1694477972.0,1694477977.0,,,0.0,1694477977.0,1694477982.0,1.0,,5.0,5.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L casa-wind-full -T 2023-09-08T07:29:05+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
unzip_ID0000006,cpu_3,compute,0,1694477982.0,,,1694477987.0,1694478010.0,1694478018.0,26762239.0,1694478008.0,1694478072.0,1694478034.0,1694478066.0,15772195.0,1694478072.0,1694478077.0,5.0,,21.0,64.0,5.0,8.0,222753803.0,32.0,501616588.0,poseidon,condorpool,poseidon-worker-1-container-16-19,unzip,/usr/bin/gunzip,,3.9,0,0,,,,,,,,,
unzip_ID0000106,None,compute,0,1694477982.0,,,1694477987.0,1694478012.0,1694478020.0,28804679.0,1694478010.0,1694478072.0,1694478033.0,1694478064.0,15848680.0,1694478072.0,1694478077.0,5.0,,23.0,62.0,5.0,8.0,241199298.0,31.0,501821816.0,poseidon,condorpool,poseidon-worker-1-container-44-47,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
unzip_ID0000046,None,compute,0,1694477982.0,,,1694477987.0,1694478008.0,1694478015.0,35360051.0,1694478006.0,1694478042.0,1694478027.0,1694478036.0,58681063.0,1694478042.0,1694478047.0,5.0,,19.0,36.0,5.0,7.0,229692821.0,9.0,523855228.0,poseidon,condorpool,poseidon-worker-2-container-4-7,unzip,/usr/bin/gunzip,,3.9,0,0,,,,,,,,,
unzip_ID0000101,None,compute,0,1694477982.0,,,1694477987.0,1694478009.0,1694478018.0,28205578.0,1694478007.0,1694478072.0,1694478031.0,1694478064.0,16967644.0,1694478072.0,1694478077.0,5.0,,20.0,65.0,5.0,9.0,250988249.0,33.0,561551644.0,poseidon,condorpool,poseidon-worker-2-container-8-11,unzip,/usr/bin/gunzip,,4.4,0,0,,,,,,,,,
unzip_ID0000026,None,compute,0,1694477982.0,,,1694477987.0,1694478008.0,1694478015.0,34047087.0,1694478007.0,1694478042.0,1694478027.0,1694478036.0,59182477.0,1694478042.0,1694478047.0,5.0,,20.0,35.0,5.0,7.0,227963832.0,9.0,523917888.0,poseidon,condorpool,poseidon-worker-2-container-16-19,unzip,/usr/bin/gunzip,,4.0,0,0,,,,,,,,,
unzip_ID0000126,None,compute,0,1694477982.0,,,1694477987.0,1694478009.0,1694478017.0,29404327.0,1694478007.0,1694478062.0,1694478031.0,1694478055.0,21379965.0,1694478062.0,1694478067.0,5.0,,20.0,55.0,5.0,8.0,249343892.0,24.0,520618424.0,poseidon,condorpool,poseidon-worker-2-container-20-23,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
unzip_ID0000031,None,compute,0,1694477982.0,,,1694477987.0,1694478008.0,1694478018.0,23566664.0,1694478007.0,1694478072.0,1694478032.0,1694478065.0,16256587.0,1694478072.0,1694478077.0,5.0,,20.0,65.0,5.0,10.0,237517035.0,33.0,539438752.0,poseidon,condorpool,poseidon-worker-2-container-24-27,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
unzip_ID0000076,None,compute,0,1694477982.0,,,1694477987.0,1694478008.0,1694478014.0,36668635.0,1694478006.0,1694478042.0,1694478027.0,1694478035.0,61477202.0,1694478042.0,1694478047.0,5.0,,19.0,36.0,5.0,6.0,233747923.0,8.0,523942844.0,poseidon,condorpool,poseidon-worker-2-container-28-31,unzip,/usr/bin/gunzip,,4.0,0,0,,,,,,,,,
unzip_ID0000011,cpu_3,compute,0,1694477982.0,,,1694477987.0,1694478008.0,1694478018.0,24313453.0,1694478006.0,1694478067.0,1694478031.0,1694478061.0,18798814.0,1694478067.0,1694478072.0,5.0,,19.0,61.0,5.0,10.0,235998389.0,30.0,565205920.0,poseidon,condorpool,poseidon-worker-1-container-4-7,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
