,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_1000-genome_0_condorpool,None,auxiliary,0,1662659873.0,,,1662659874.0,,,0.0,1662659878.0,1662659884.0,,,0.0,1662659884.0,1662659889.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0,,,,,,,,,
individuals_ID0000047,hdd_10,compute,0,1662659889.0,,,1662659895.0,1662660432.0,1662660582.0,6771256.0,1662659917.0,1662661894.0,1662661984.0,1662661989.0,87378.0,1662661894.0,1662661899.0,6.0,,22.0,1977.0,5.0,150.0,1014283276.0,5.0,388044.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_38739/pegasus.gYzY6Z84W/individuals,,907.7,0,0,1.2,1015691655.0,5867089.0,126317.0,2505.0,899.0,1.6,741380.8,5867.1
individuals_ID0000046,None,compute,0,1662659889.0,,,1662659895.0,1662660324.0,1662660456.0,7640862.0,1662659917.0,1662661594.0,1662661594.0,1662661673.0,4541.0,1662661594.0,1662661599.0,6.0,,22.0,1677.0,5.0,132.0,1014283276.0,79.0,357020.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_44258/pegasus.HtLd4rdZn/individuals,,935.4,0,0,1.1,1026268295.0,5885952.0,130077.0,2531.0,932.6,2.3,996377.0,6131.2
individuals_ID0000045,hdd_10,compute,0,1662659889.0,,,1662659895.0,1662660018.0,1662660432.0,2448307.0,1662659915.0,1662661368.0,1662661453.0,1662661459.0,60049.0,1662661368.0,1662661373.0,6.0,,20.0,1453.0,5.0,414.0,1014283276.0,6.0,337358.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_55367/pegasus.SNYtAeFAf/individuals,,948.5,0,0,0.1,1015531438.0,4780876.0,125729.0,2511.0,931.7,11.4,1005476.7,5032.5
individuals_ID0000044,hdd_10,compute,0,1662659889.0,,,1662659895.0,1662660221.0,1662660438.0,4661691.0,1662659915.0,1662661468.0,1662661522.0,1662661526.0,101149.0,1662661468.0,1662661473.0,6.0,,20.0,1553.0,5.0,217.0,1014283276.0,4.0,465537.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_46046/pegasus.XjkQuX1ZQ/individuals,,951.6,0,0,0.9,1015557164.0,6958242.0,125826.0,2515.0,938.0,9.7,949118.8,7248.2
individuals_ID0000049,hdd_10,compute,0,1662659889.0,,,1662659895.0,1662660018.0,1662660436.0,2426156.0,1662659915.0,1662661342.0,1662661431.0,1662661435.0,91234.0,1662661342.0,1662661347.0,6.0,,20.0,1427.0,5.0,418.0,1014283276.0,4.0,409262.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_52220/pegasus.Slimf3yiI/individuals,,917.8,0,0,0.0,1015530595.0,6046192.0,125705.0,2487.0,897.0,11.1,1036255.7,6571.9
individuals_ID0000048,hdd_10,compute,0,1662659889.0,,,1662659895.0,1662660221.0,1662660438.0,4662290.0,1662659915.0,1662661413.0,1662661499.0,1662661503.0,109781.0,1662661413.0,1662661418.0,6.0,,20.0,1498.0,5.0,217.0,1014283276.0,4.0,488756.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_50350/pegasus.Ac3hgmaLf/individuals,,932.8,0,0,0.0,1015543072.0,7039001.0,125784.0,2513.0,926.0,1.7,967183.9,7488.3
individuals_ID0000032,hdd_10,compute,0,1662659889.0,,,1662659895.0,1662660324.0,1662660514.0,5322576.0,1662659915.0,1662661849.0,1662661937.0,1662661941.0,68846.0,1662661849.0,1662661854.0,6.0,,20.0,1934.0,5.0,190.0,1014283276.0,4.0,325624.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_57272/pegasus.I9KlWRJWF/individuals,,927.8,0,0,1.2,1015691231.0,5151859.0,126323.0,2506.0,918.5,2.7,736008.1,5100.9
individuals_ID0000031,None,compute,0,1662659889.0,,,1662659895.0,1662660056.0,1662660237.0,5615868.0,1662659915.0,1662661594.0,1662661684.0,1662661688.0,60231.0,1662661594.0,1662661599.0,6.0,,20.0,1679.0,5.0,181.0,1014283276.0,4.0,259971.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_45083/pegasus.l6oZ7kJdb/individuals,,991.9,0,0,1.7,1015699220.0,4472499.0,126360.0,2527.0,981.0,9.4,736013.9,4342.2
individuals_ID0000030,hdd_10,compute,0,1662659889.0,,,1662659895.0,1662660018.0,1662660462.0,2282512.0,1662659915.0,1662661674.0,1662661691.0,1662661768.0,2857.0,1662661674.0,1662661679.0,6.0,,20.0,1759.0,5.0,444.0,1014283276.0,77.0,221509.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_62331/pegasus.GTDluvyLJ/individuals,,936.7,0,0,1.2,2046875145.0,6759585.0,257406.0,5060.0,933.7,1.6,1844031.7,6759.6
individuals_ID0000036,None,compute,0,1662659889.0,,,1662659895.0,1662660118.0,1662660445.0,3104412.0,1662659915.0,1662661579.0,1662661670.0,1662661674.0,49094.0,1662661579.0,1662661584.0,6.0,,20.0,1664.0,5.0,327.0,1014283276.0,4.0,216004.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_40019/pegasus.FjsozlvaR/individuals,,961.7,0,0,2.0,1015575783.0,3878618.0,125901.0,2512.0,955.4,1.6,906764.1,3957.8
sifting_ID0000104,None,compute,0,1662659889.0,,,1662659895.0,1662660324.0,1662660471.0,11584820.0,1662659915.0,1662660726.0,1662660813.0,1662660818.0,227794.0,1662660726.0,1662660731.0,6.0,,20.0,811.0,5.0,147.0,1708159164.0,5.0,1055195.0,poseidon,condorpool,worker2-container-4-7,sifting,/var/lib/condor/execute/dir_53175/pegasus.eW31Qqtj4/sifting,,5.0,0,0,,,,,,,,,
