,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_casa-wind-full_0_condorpool,None,auxiliary,0,1694587187.0,,,1694587188.0,,,0.0,1694587191.0,1694587198.0,,,0.0,1694587198.0,1694587203.0,1.0,,3.0,7.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L casa-wind-full -T 2023-09-08T07:29:05+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
unzip_ID0000006,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587263.0,5230108.0,1694587219.0,1694587424.0,1694587317.0,1694587329.0,43237996.0,1694587424.0,1694587429.0,5.0,,11.0,205.0,5.0,43.0,222753803.0,12.0,501616588.0,poseidon,condorpool,poseidon-worker-1-container-16-19,unzip,/usr/bin/gunzip,,3.9,0,0,,,,,,,,,
unzip_ID0000106,None,compute,0,1694587203.0,,,1694587208.0,1694587223.0,1694587265.0,5719013.0,1694587221.0,1694587424.0,1694587317.0,1694587329.0,42026468.0,1694587424.0,1694587429.0,5.0,,13.0,203.0,5.0,42.0,241199298.0,12.0,501821816.0,poseidon,condorpool,poseidon-worker-1-container-44-47,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
unzip_ID0000046,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587228.0,28913938.0,1694587218.0,1694587258.0,1694587240.0,1694587249.0,62679607.0,1694587258.0,1694587263.0,5.0,,10.0,40.0,5.0,8.0,229692821.0,9.0,523855228.0,poseidon,condorpool,poseidon-worker-2-container-4-7,unzip,/usr/bin/gunzip,,4.0,0,0,,,,,,,,,
unzip_ID0000101,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587230.0,24520324.0,1694587218.0,1694587258.0,1694587243.0,1694587252.0,63204680.0,1694587258.0,1694587263.0,5.0,,10.0,40.0,5.0,10.0,250988249.0,9.0,561551644.0,poseidon,condorpool,poseidon-worker-2-container-8-11,unzip,/usr/bin/gunzip,,4.4,0,0,,,,,,,,,
unzip_ID0000026,None,compute,0,1694587203.0,,,1694587208.0,1694587221.0,1694587264.0,5282809.0,1694587219.0,1694587333.0,1694587317.0,1694587325.0,63206549.0,1694587333.0,1694587338.0,5.0,,11.0,114.0,5.0,43.0,227963832.0,8.0,523917888.0,poseidon,condorpool,poseidon-worker-1-container-0-3,unzip,/usr/bin/gunzip,,4.0,0,0,,,,,,,,,
unzip_ID0000126,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587229.0,26879588.0,1694587218.0,1694587258.0,1694587242.0,1694587252.0,54552016.0,1694587258.0,1694587263.0,5.0,,10.0,40.0,5.0,9.0,249343892.0,10.0,520618424.0,poseidon,condorpool,poseidon-worker-2-container-12-15,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
unzip_ID0000031,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587229.0,25509793.0,1694587218.0,1694587258.0,1694587242.0,1694587251.0,61753727.0,1694587258.0,1694587263.0,5.0,,10.0,40.0,5.0,9.0,237517035.0,9.0,539438752.0,poseidon,condorpool,poseidon-worker-2-container-28-31,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
unzip_ID0000076,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587228.0,28955337.0,1694587219.0,1694587258.0,1694587241.0,1694587250.0,62847388.0,1694587258.0,1694587263.0,5.0,,11.0,39.0,5.0,8.0,233747923.0,9.0,523942844.0,poseidon,condorpool,poseidon-worker-2-container-16-19,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
unzip_ID0000011,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587229.0,25617076.0,1694587218.0,1694587258.0,1694587242.0,1694587251.0,62162542.0,1694587258.0,1694587263.0,5.0,,10.0,40.0,5.0,9.0,235998389.0,9.0,565205920.0,poseidon,condorpool,poseidon-worker-2-container-32-35,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
unzip_ID0000111,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587228.0,35849890.0,1694587219.0,1694587258.0,1694587241.0,1694587250.0,62092896.0,1694587258.0,1694587263.0,5.0,,11.0,39.0,5.0,8.0,256320311.0,9.0,567950764.0,poseidon,condorpool,poseidon-worker-2-container-36-39,unzip,/usr/bin/gunzip,,4.3,0,0,,,,,,,,,
unzip_ID0000071,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587261.0,5840096.0,1694587218.0,1694587333.0,1694587317.0,1694587326.0,62566462.0,1694587333.0,1694587338.0,5.0,,10.0,115.0,5.0,41.0,240896692.0,9.0,539506600.0,poseidon,condorpool,poseidon-worker-1-container-8-11,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
unzip_ID0000051,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587264.0,5479551.0,1694587218.0,1694587333.0,1694587317.0,1694587326.0,61420652.0,1694587333.0,1694587338.0,5.0,,10.0,115.0,5.0,44.0,239630266.0,9.0,544301296.0,poseidon,condorpool,poseidon-worker-1-container-36-39,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
unzip_ID0000056,None,compute,0,1694587203.0,,,1694587208.0,1694587220.0,1694587230.0,25130890.0,1694587219.0,1694587258.0,1694587242.0,1694587250.0,62279547.0,1694587258.0,1694587263.0,5.0,,11.0,39.0,5.0,10.0,232139969.0,8.0,528026776.0,poseidon,condorpool,poseidon-worker-2-container-0-3,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
