,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_1000-genome_0_condorpool,None,auxiliary,0,1659818216.0,,,1659818217.0,,,0.0,1659818221.0,1659818227.0,,,0.0,1659818227.0,1659818232.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0,,,,,,,,,
individuals_ID0000047,None,compute,0,1659818232.0,,,1659818237.0,1659818267.0,1659818327.0,16896339.0,1659818257.0,1659819273.0,1659819264.0,1659819269.0,83449.0,1659819273.0,1659819278.0,5.0,,20.0,1016.0,5.0,60.0,1014283276.0,5.0,387871.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_69140/pegasus.mvhyv4Ttz/individuals,,930.7,0,0,0.0,1015505962.0,5911691.0,125618.0,2523.0,927.9,1.5,1091941.9,6356.7
individuals_ID0000046,None,compute,0,1659818232.0,,,1659818237.0,1659818265.0,1659818332.0,15054506.0,1659818257.0,1659819288.0,1659819280.0,1659819285.0,76861.0,1659819288.0,1659819294.0,5.0,,20.0,1031.0,6.0,67.0,1014283276.0,5.0,357100.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_50428/pegasus.OX8Bms031/individuals,,942.1,0,0,0.0,1015502391.0,5699706.0,125619.0,2519.0,937.3,2.2,1080321.7,6063.5
individuals_ID0000045,None,compute,0,1659818232.0,,,1659818237.0,1659818266.0,1659818337.0,14361443.0,1659818257.0,1659819289.0,1659819284.0,1659819288.0,74425.0,1659819289.0,1659819294.0,5.0,,20.0,1032.0,5.0,71.0,1014283276.0,4.0,337377.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_44320/pegasus.UFb08ckHr/individuals,,940.9,0,0,0.0,1015502247.0,4800890.0,125619.0,2521.0,937.3,2.0,1080321.5,5107.3
individuals_ID0000044,None,compute,0,1659818232.0,,,1659818237.0,1659818267.0,1659818341.0,13755496.0,1659818257.0,1659819294.0,1659819289.0,1659819293.0,101350.0,1659819294.0,1659819299.0,5.0,,20.0,1037.0,5.0,74.0,1014283276.0,4.0,465609.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_55240/pegasus.SUERlhGgH/individuals,,942.0,0,0,0.0,1015513501.0,6966859.0,125643.0,2519.0,937.6,1.7,1080333.5,7411.6
individuals_ID0000049,None,compute,0,1659818232.0,,,1659818237.0,1659818264.0,1659818312.0,21134951.0,1659818257.0,1659819268.0,1659819261.0,1659819265.0,87494.0,1659819268.0,1659819273.0,5.0,,20.0,1011.0,5.0,48.0,1014283276.0,4.0,409274.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_48126/pegasus.BA8h1i9WP/individuals,,941.4,0,0,0.0,1015513517.0,6098006.0,125643.0,2506.0,925.9,12.6,1080333.5,6487.2
individuals_ID0000048,None,compute,0,1659818232.0,,,1659818237.0,1659818264.0,1659818312.0,21092458.0,1659818257.0,1659819263.0,1659819258.0,1659819263.0,104661.0,1659819263.0,1659819268.0,5.0,,20.0,1006.0,5.0,48.0,1014283276.0,5.0,488654.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_50619/pegasus.S0rX26MUp/individuals,,939.7,0,0,0.0,1026976039.0,7331992.0,130166.0,2534.0,927.3,11.8,1092527.7,7800.0
individuals_ID0000032,None,compute,0,1659818232.0,,,1659818237.0,1659818267.0,1659818332.0,15667591.0,1659818257.0,1659819314.0,1659819306.0,1659819311.0,70630.0,1659819314.0,1659819319.0,5.0,,20.0,1057.0,5.0,65.0,1014283276.0,5.0,325500.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_61208/pegasus.aQZjaOORs/individuals,,967.7,0,0,0.1,1015517399.0,5140254.0,125663.0,2499.0,955.9,3.3,1057830.6,5354.4
individuals_ID0000031,None,compute,0,1659818232.0,,,1659818237.0,1659818264.0,1659818314.0,20283610.0,1659818257.0,1659819288.0,1659819279.0,1659819283.0,56562.0,1659819288.0,1659819294.0,5.0,,20.0,1031.0,6.0,50.0,1014283276.0,4.0,259890.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_58296/pegasus.sXAUQCfpA/individuals,,957.8,0,0,0.0,1015517046.0,4436733.0,125658.0,2501.0,946.9,2.0,1068965.3,4670.2
individuals_ID0000030,None,compute,0,1659818232.0,,,1659818237.0,1659818266.0,1659818329.0,16304521.0,1659818257.0,1659819309.0,1659819304.0,1659819308.0,49019.0,1659819309.0,1659819314.0,5.0,,20.0,1052.0,5.0,63.0,1014283276.0,4.0,221473.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_67102/pegasus.0Eyk1bd7K/individuals,,969.4,0,0,0.0,1031818345.0,3488201.0,133194.0,2534.0,959.0,10.3,1063730.3,3596.1
individuals_ID0000036,None,compute,0,1659818232.0,,,1659818237.0,1659818265.0,1659818313.0,21022377.0,1659818257.0,1659819304.0,1659819299.0,1659819303.0,47843.0,1659819304.0,1659819309.0,5.0,,20.0,1047.0,5.0,48.0,1014283276.0,4.0,216023.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_89018/pegasus.ydkjHOsNe/individuals,,979.6,0,0,0.1,1023671763.0,3985183.0,129317.0,2528.0,977.5,1.7,1044563.0,4066.5
sifting_ID0000104,None,compute,0,1659818232.0,,,1659818237.0,1659818267.0,1659818342.0,22593859.0,1659818257.0,1659818362.0,1659818353.0,1659818358.0,223121.0,1659818362.0,1659818367.0,5.0,,20.0,105.0,5.0,75.0,1708159164.0,5.0,1055195.0,poseidon,condorpool,worker1-container-4-7,sifting,/var/lib/condor/execute/dir_48081/pegasus.c8sHUn6mY/sifting,,4.7,0,0,,,,,,,,,
