,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_casa-wind-full_0_condorpool,None,auxiliary,0,1694340465.0,,,1694340466.0,,,0.0,1694340469.0,1694340476.0,,,0.0,1694340476.0,1694340481.0,1.0,,3.0,7.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L casa-wind-full -T 2023-09-08T07:29:05+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
unzip_ID0000006,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340512.0,25731075.0,1694340501.0,1694340546.0,1694340525.0,1694340540.0,32837324.0,1694340546.0,1694340551.0,5.0,,15.0,45.0,5.0,9.0,222753803.0,15.0,501616588.0,poseidon,condorpool,poseidon-worker-2-container-40-43,unzip,/usr/bin/gunzip,,3.9,0,0,,,,,,,,,
unzip_ID0000106,None,compute,0,1694340481.0,,,1694340486.0,1694340506.0,1694340516.0,26532445.0,1694340504.0,1694340561.0,1694340529.0,1694340551.0,22412297.0,1694340561.0,1694340566.0,5.0,,18.0,57.0,5.0,10.0,241199298.0,22.0,501821816.0,poseidon,condorpool,poseidon-worker-1-container-44-47,unzip,/usr/bin/gunzip,,4.0,0,0,,,,,,,,,
unzip_ID0000046,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340512.0,25311084.0,1694340501.0,1694340541.0,1694340525.0,1694340534.0,56737463.0,1694340541.0,1694340546.0,5.0,,15.0,40.0,5.0,9.0,229692821.0,9.0,523855228.0,poseidon,condorpool,poseidon-worker-2-container-4-7,unzip,/usr/bin/gunzip,,4.0,0,0,,,,,,,,,
unzip_ID0000101,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340513.0,25813554.0,1694340502.0,1694340551.0,1694340526.0,1694340541.0,37461838.0,1694340551.0,1694340556.0,5.0,,16.0,49.0,5.0,10.0,250988249.0,15.0,561551644.0,poseidon,condorpool,poseidon-worker-2-container-20-23,unzip,/usr/bin/gunzip,,4.4,0,0,,,,,,,,,
unzip_ID0000026,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340513.0,24271762.0,1694340501.0,1694340551.0,1694340525.0,1694340541.0,33811365.0,1694340551.0,1694340556.0,5.0,,15.0,50.0,5.0,10.0,227963832.0,16.0,523917888.0,poseidon,condorpool,poseidon-worker-2-container-8-11,unzip,/usr/bin/gunzip,,4.0,0,0,,,,,,,,,
unzip_ID0000126,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340513.0,25876519.0,1694340501.0,1694340561.0,1694340526.0,1694340554.0,18882780.0,1694340561.0,1694340566.0,5.0,,15.0,60.0,5.0,10.0,249343892.0,28.0,520618424.0,poseidon,condorpool,poseidon-worker-1-container-8-11,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
unzip_ID0000031,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340512.0,24682499.0,1694340501.0,1694340546.0,1694340525.0,1694340536.0,51139717.0,1694340546.0,1694340551.0,5.0,,15.0,45.0,5.0,9.0,237517035.0,11.0,539438752.0,poseidon,condorpool,poseidon-worker-2-container-16-19,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
unzip_ID0000076,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340511.0,26874058.0,1694340501.0,1694340546.0,1694340525.0,1694340535.0,51208302.0,1694340546.0,1694340551.0,5.0,,15.0,45.0,5.0,8.0,233747923.0,10.0,523942844.0,poseidon,condorpool,poseidon-worker-2-container-12-15,unzip,/usr/bin/gunzip,,4.1,0,0,,,,,,,,,
unzip_ID0000011,None,compute,0,1694340481.0,,,1694340486.0,1694340503.0,1694340513.0,24182140.0,1694340502.0,1694340556.0,1694340526.0,1694340548.0,26019632.0,1694340556.0,1694340561.0,5.0,,16.0,54.0,5.0,10.0,235998389.0,22.0,565205920.0,poseidon,condorpool,poseidon-worker-1-container-28-31,unzip,/usr/bin/gunzip,,4.2,0,0,,,,,,,,,
