start_time,end_time,workflow,workflow_uuid,experiment_type,workers_with_anomaly
1659744771,1659747106,1000-genome,938a1352-bb11-4504-bef6-e22b28078c4a,normal,
1659747134,1659749649,1000-genome,8eebdc1e-8232-4076-abf0-e1741badad25,normal,
1659749677,1659752028,1000-genome,d0eef607-7469-40b4-847e-6fc60d2e1a0b,normal,
1659752040,1659754386,1000-genome,f8396539-eb9b-49a8-81db-f1e450ea0389,normal,
1659754403,1659756732,1000-genome,144b7a56-dad9-45c9-a52f-9010a9bb7779,normal,
1659756735,1659759106,1000-genome,d500b46f-6260-4257-a485-0bdd34296986,normal,
1659759133,1659761492,1000-genome,b78bad5d-ab49-4813-b1a0-cd0cee720cac,normal,
1659761495,1659763820,1000-genome,fb457de2-4a55-4c9a-9b0c-3c357919f68d,normal,
1659763828,1659766172,1000-genome,2c76a282-1be9-4ae4-8b5e-baeffbc25a3b,normal,
1659766190,1659768547,1000-genome,da3abb85-004a-4148-9040-8595a4430622,normal,
1659768553,1659770884,1000-genome,2cec82e4-7c29-4a11-b996-e20ddae27473,normal,
1659770890,1659773230,1000-genome,d264c34f-67c8-41df-ad4d-f8bc66b43ed4,normal,
1659773253,1659775589,1000-genome,dd8f22ce-b631-4262-b90e-876f4b71fcea,normal,
1659775620,1659777963,1000-genome,b6e93ef0-dd1f-4bb3-b793-ceb5c5960d07,normal,
1659777988,1659780333,1000-genome,4df509cc-a85c-4b78-a965-8a46e91b8d51,normal,
1659780350,1659782690,1000-genome,59bda52a-def1-453c-af2e-8b49beeefd7d,normal,
1659782718,1659785063,1000-genome,7af8e920-42e6-412c-8671-3e27c881cd04,normal,
1659785085,1659787427,1000-genome,fe7ef664-715f-4ab0-a42f-139790eead47,normal,
1659787448,1659789814,1000-genome,1ff3010b-2f12-4981-adc8-746000e1fca5,normal,
1659789846,1659792187,1000-genome,476864fe-9c17-4d78-805d-4989073900ca,normal,
1659792208,1659794562,1000-genome,59a4e0ee-24b7-421c-a246-28b9ae17f606,normal,
1659794571,1659796916,1000-genome,6c6c2f6d-efe9-4915-b4ee-3dab8074656f,normal,
1659796938,1659799289,1000-genome,ea4a95dc-71aa-40b2-a7d5-8d75ae38a243,normal,
1659799301,1659801658,1000-genome,5fb61c25-9e1e-4f3e-a051-c7ec4717bbba,normal,
1659801664,1659804007,1000-genome,d10dd3ad-1373-42e2-98ac-ea300232786c,normal,
1659804026,1659806361,1000-genome,3e6239b7-767d-496c-b952-2b06521b9844,normal,
1659806389,1659808727,1000-genome,30aff7c3-cfae-4c00-b89d-46a518d3ec90,normal,
1659808751,1659811097,1000-genome,0a27fb62-3a2f-466b-a3bb-8be4d93ab27c,normal,
1659811119,1659813463,1000-genome,45602e6c-e626-4cdd-b671-d70833d72a0f,normal,
1659813486,1659815844,1000-genome,a50e6f45-ab4e-41da-a7db-280c33f5d41d,normal,
1659815849,1659818194,1000-genome,db655184-3c1c-4c3b-bcc4-ef92d452e8d2,normal,
1659818212,1659820583,1000-genome,ae420887-5656-48bf-8e6a-c48e544f341a,normal,
1659820609,1659822958,1000-genome,9b6ddd7d-1d86-4e68-8a56-a94a147e57f5,normal,
1659822972,1659825316,1000-genome,afcc53e3-eeb6-47a3-a927-44e07256b063,normal,
1659825334,1659827675,1000-genome,dc861371-4197-4a4b-914b-0f388e8df7fb,normal,
1659827697,1659830035,1000-genome,5e80ab37-d338-428c-8a98-925ea44b6e82,normal,
1659830059,1659832398,1000-genome,1d90bf19-43a6-40f9-8f2c-f5708cdec67c,normal,
1659832422,1659834777,1000-genome,fea47284-c98b-4201-a1db-c3705c203b8c,normal,
1659834785,1659837122,1000-genome,d2fbf6f1-ae00-4263-9109-77653348940d,normal,
1659837147,1659839495,1000-genome,58dd4367-4c45-4185-adf3-d9be620105a2,normal,
1659839515,1659841862,1000-genome,79e65bd2-ed3b-4000-9170-aa9684789668,normal,
1659841878,1659844224,1000-genome,2d358775-467c-460a-8e0c-6e1f065ae046,normal,
1659844245,1659846583,1000-genome,6a9de7c9-72b1-4369-b5ac-1f9a147ee531,normal,
1659846608,1659848950,1000-genome,45be521f-2d75-4bf0-902a-0f1fa3cd1093,normal,
1659848971,1659851317,1000-genome,f76f4efe-3f2e-4262-9cee-7e7ba2f78d8c,normal,
1659851339,1659853688,1000-genome,86859c3f-0a7a-4b0a-b15b-203b33387803,normal,
1659853701,1659856033,1000-genome,d17f802c-20cd-400f-ae51-5d5d7d7cad7b,normal,
1659856033,1659858381,1000-genome,c896c598-f658-4037-8218-96b1ef042b80,normal,
1659858396,1659860741,1000-genome,1baf6586-fd6d-4d63-9cb7-fd33b8c57b30,normal,
1659860759,1659863110,1000-genome,960b917b-39a6-4331-bb8e-f0ff5df0c483,normal,
1659981271,1659983825,1000-genome,7fd510a2-b57c-43d1-8b9d-b9cb67159629,cpu_2,worker2-container-4-7 worker2-container-24-27 worker1-container-4-7 worker1-container-20-23 worker2-container-8-11
1659983845,1659986568,1000-genome,0d34c02c-d9f6-4700-af62-9218679fe0cb,cpu_2,worker1-container-4-7 worker2-container-24-27 worker2-container-8-11 worker2-container-4-7 worker1-container-20-23
1659986601,1659989307,1000-genome,161a28e0-a6f7-4b7c-b45c-d631fa34b194,cpu_2,worker1-container-4-7 worker2-container-24-27 worker1-container-20-23 worker2-container-4-7 worker2-container-8-11
1659989326,1659991880,1000-genome,70873aea-6910-4250-8949-913ce6528ba3,cpu_2,worker1-container-20-23 worker1-container-4-7 worker2-container-8-11 worker2-container-4-7 worker2-container-24-27
1659991900,1659994479,1000-genome,3555c6ec-63f0-4572-ad6c-6e5caf647ead,cpu_2,worker1-container-4-7 worker1-container-20-23 worker2-container-8-11 worker2-container-4-7 worker2-container-24-27
1659994505,1659997323,1000-genome,5673c9e1-c98b-4afa-a5e9-f8c1190e4d18,cpu_2,worker2-container-4-7 worker2-container-24-27 worker1-container-4-7 worker2-container-8-11 worker1-container-20-23
1659997351,1660000056,1000-genome,088e1800-1eb6-4cb2-8029-f55e13f812e6,cpu_2,worker1-container-4-7 worker2-container-24-27 worker2-container-8-11 worker2-container-4-7 worker1-container-20-23
